"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","C_HS_v2","P_HS_1_2","auc"
"100",0,428.342504344495,214774.201156069,2.74967700233321,2.29038700288636,4.27746843226041,239214.598811612,0.888888888888889
"100",0.333333333333333,308.348283126284,113881.417931834,2.41231121583476,2.31204398918451,4.29141314241661,98129.1905256429,0.888888888888889
"100",0.666666666666667,287.113081165823,176530.766996796,2.28234510294322,3.2279967233701,4.80920033039922,386200.771119878,1
"100",1,332.878609932479,156919.670983213,3.14168818807224,2.83482480836417,4.38053288537405,181222.061974965,0.555555555555556
"1100",0,167.160057900943,110091.198179545,1.69002717446813,2.34668287329326,4.40838148810973,363069.699504803,1
"1100",0.333333333333333,93.1546139532104,64943.8193825339,1.23813405972775,1.97412249031476,4.11153946935006,291095.915402332,1
"1100",0.666666666666667,104.876176343352,98611.715482291,1.1846120293253,1.95123619878471,4.0997885302365,309930.321747671,1
"1100",1,148.845441306086,113124.611289769,1.36768413730821,2.03954421075948,4.15509195420488,286944.129775266,1
"1300",0,161.48506531414,57513.5111206621,1.21026493168816,2.06044380916417,4.05020954365332,257999.099011637,1
"1300",0.333333333333333,97.6428808271849,52134.6655727826,0.999309612729682,1.93468497153095,4.03017191543207,234443.355303844,1
"1300",0.666666666666667,108.988261052433,81836.2099090289,0.946351897259865,1.97401772151417,4.09562736714046,230763.331174152,0.888888888888889
"1300",1,126.496549318559,107166.194307174,1.17364251457529,2.14849857740124,4.15311903553533,285864.93974578,1
"1500",0,144.693192534006,95427.0948339502,1.45555270967512,2.78946959922473,4.71957902932396,390259.208903923,1
"1500",0.333333333333333,82.0137256535867,58867.4446045069,1.14017757422272,2.02347379068983,4.153358838022,363228.315400071,1
"1500",0.666666666666667,86.9279594825466,59721.5366037764,1.05244652492901,1.94251991443667,4.13007556599886,284477.640436437,1
"1500",1,117.425044606083,87398.9855096483,1.3724530697033,1.98635802451247,4.09982069755296,147441.906921977,1
"300",0,295.931131875949,161396.040320111,2.09532271837388,2.49275938908108,4.33919220361923,314624.669225512,1
"300",0.333333333333333,219.899399201434,113189.200846377,1.86770593694802,2.83358731132235,4.53710135644137,373142.252910464,1
"300",0.666666666666667,223.067408751862,143672.538109902,2.05457774708226,2.03030468456675,4.00560909931886,263407.008866864,1
"300",1,353.226079098293,189335.614032006,2.36734833986802,2.12774527587534,3.99897478805897,107874.084039731,1
"500",0,211.541608795326,190607.618868824,2.50009874490573,2.46766243983695,4.48548614122767,289549.236706243,1
"500",0.333333333333333,169.813403818167,131580.437264433,1.24132707355235,2.12349346179041,4.22625854655251,345167.452646712,1
"500",0.666666666666667,185.896521310558,173575.728026553,1.50345131490371,2.03149434559304,4.22245538187534,204133.668708215,0.666666666666667
"500",1,214.607153635642,243979.858571534,2.27052018185047,2.10670721499122,4.28226411700996,199756.938045704,0.666666666666667
"700",0,202.387494954199,77698.2816539155,1.54254506646618,2.23578700558625,4.18392823852504,275155.309736137,1
"700",0.333333333333333,149.951233123103,93318.302759796,1.3316415191391,2.01181527396187,4.12715359593617,293149.925159418,0.888888888888889
"700",0.666666666666667,117.162540315344,73899.4523451397,1.28247539493125,2.39599340333309,4.43741506668843,434884.212200826,1
"700",1,167.104542067313,134400.892876726,1.39587580840377,2.0085696693683,3.99950695641056,163720.91314924,0.555555555555556
"900",0,164.122650141107,93830.0470670899,1.63862723653199,2.17517625679223,4.23835051239568,330425.695309623,1
"900",0.333333333333333,107.04013848768,55510.9949562329,1.0300123821727,1.92740923220404,4.10593372801933,341026.535872429,1
"900",0.666666666666667,122.384164853308,100340.76317647,1.21749533200265,2.08291670881989,4.20620033817552,296105.33096044,1
"900",1,143.249809048673,134994.023004194,1.7170287441422,2.15145118518675,4.23506873711496,295282.320830391,1
