"n","y_c_query","rho_i_dist","rho_ij_dist_1_2","g_ij_dist_1_2","C_HS_1_2","P_HS_1_2","auc"
"100",0,533.444975857669,277049.837835011,4.91067687168243,0.00522392452280661,0.00521218878183441,NA
"100",0.111111111111111,476.356839820353,236287.961612992,4.91276663598697,0.338127149876322,0.340190025288467,0.568181818181818
"100",0.222222222222222,442.081774240664,206295.652236037,4.60895093883955,0.676926347582213,0.693740702541478,0.590909090909091
"100",0.333333333333333,422.285578136824,185042.113907309,4.03150338061338,1.01581420624896,1.07437799788742,0.727272727272727
"100",0.444444444444444,396.084216739776,177371.743452908,3.49118751857132,1.35473076584439,1.50005630192454,0.772727272727273
"100",0.555555555555556,368.501353033575,176303.110402227,3.40809694510827,1.69353362851809,1.99557717420079,1
"100",0.666666666666667,377.557241870643,178357.668791949,3.63295959086243,2.0321216682859,2.59844990902416,1
"100",0.777777777777778,431.124783912122,191542.008032055,3.71542913956439,2.37066060508956,3.37048572052828,1
"100",0.888888888888889,496.544836559444,208871.006799045,3.65430873136654,2.70954812791876,4.42297910305196,1
"100",1,553.682273904755,218932.890998879,3.79890478830127,3.04883552543142,5.9804098996638,0.931818181818182
"1000",0,222.875692504966,119897.508512861,2.24391480664188,0.00187712218192879,0.00188311655941359,NA
"1000",0.111111111111111,184.257139301951,96537.2860288453,1.69286720904191,0.338413546996909,0.340476355407978,0.545454545454545
"1000",0.222222222222222,152.269178348141,75413.9913778169,1.23377577120367,0.677268167390548,0.694082233434833,0.795454545454545
"1000",0.333333333333333,130.235803562749,62741.7643786507,0.974478824178245,1.01605961213712,1.07462232932298,0.954545454545455
"1000",0.444444444444444,121.464163911257,67742.4809589579,1.0757850057744,1.35482602447764,1.5001490400366,1
"1000",0.555555555555556,129.672839245284,81631.4652786167,1.39292842947063,1.69365545703806,1.99569606928284,1
"1000",0.666666666666667,151.702940264181,93305.9516952476,1.7071618355165,2.03201818181954,2.59834433467351,1
"1000",0.777777777777778,177.724720147422,101294.657402592,1.98311099522872,2.37097105154256,3.37079513052165,1
"1000",0.888888888888889,201.753486682706,107548.201083834,2.27398276826328,2.70987262807642,4.42330241372934,1
"1000",1,223.171979343184,114339.898087419,2.62863801382478,3.04872999514377,5.98030159611919,0.977272727272727
"200",0,438.438668949779,195181.988313941,2.04963857099868,0.00323091739143821,0.00321524545853612,NA
"200",0.111111111111111,379.549616144228,201703.855557885,1.99406926393503,0.33857554532202,0.340634466654034,0.772727272727273
"200",0.222222222222222,329.122755202773,191299.68352823,2.16201407850122,0.677431455572202,0.694242280497067,0.613636363636364
"200",0.333333333333333,295.639099840412,171737.614637872,2.65259332955977,1.01618932184204,1.07475030713541,0.545454545454545
"200",0.444444444444444,291.327262989983,166712.885755139,3.23607709490132,1.35489988555077,1.50022422275583,0.772727272727273
"200",0.555555555555556,318.862074792612,173814.759382256,3.54514193459486,1.69375287931094,1.99579527547671,0.818181818181818
"200",0.666666666666667,362.928603012524,170986.336729153,3.48276059229695,2.03253415350043,2.59886247769548,0.931818181818182
"200",0.777777777777778,405.597081047702,162115.515993256,3.33467239334562,2.37130184976406,3.37112827960993,0.840909090909091
"200",0.888888888888889,440.469169280779,166585.289573955,3.46417509405847,2.71022480462329,4.42365773679325,0.886363636363636
"200",1,470.108198011038,189674.836645081,3.88015377096884,3.04894240588008,5.9805200013409,0.931818181818182
"300",0,455.070725444106,157133.16939965,2.29278274127648,0.00204457715747863,0.00204005158962927,NA
"300",0.111111111111111,344.80814280691,181784.400011094,2.10561389268031,0.338556521200953,0.340618428996128,0.886363636363636
"300",0.222222222222222,282.974554519263,214022.132463461,2.21187977321839,0.677466607981642,0.694279503937238,0.681818181818182
"300",0.333333333333333,279.890713331487,220584.283698276,2.34417793088981,1.01635485027908,1.07491655717296,0.613636363636364
"300",0.444444444444444,292.505709822398,195225.371529966,2.36298577699871,1.35521534585487,1.50053848061604,0.613636363636364
"300",0.555555555555556,288.393688145311,158107.298532458,2.33670781045524,1.69356720580569,1.99560661633158,0.909090909090909
"300",0.666666666666667,281.372074038725,134422.351920378,2.35497688950542,2.03272656985612,2.5990516867705,0.909090909090909
